Designator,Footprint,Quantity,Value,LCSC Part #
CN12,CONN-TH_4P-P2.00_S4B-PH-K-S-LF-SN,1,4-PIN HARNESS,
"U1, U2, U3, U4, U5",SMD_BD2.0-L2.0-W2.0_C9900001905 pogo pin,5,SMD_BD2.0-L2.0-W2.0_C9900001905 pogo pin,
