Designator,Mid X,Mid Y,Rotation,Layer
CN12,163.9544,-97.89005,90.0,top
U1,145.59,-92.95,0.0,top
U2,145.585,-97.95,0.0,top
U3,145.59,-102.95,0.0,top
U4,155.59,-92.95,0.0,top
U5,155.59,-102.95,0.0,top
