Designator,Footprint,Quantity,Value,LCSC Part #
"PAD_GGE1516998_5, PAD_GGE1516998_4, PAD_GGE1516998_3, PAD_GGE1516998_2, PAD_GGE1516998",Pad_gge1516998,5,Pad_gge1516998,
"U1, U2, U3, U4, U5",SMD_BD2.0-L2.0-W2.0_C9900001905 pogo pin,5,SMD_BD2.0-L2.0-W2.0_C9900001905 pogo pin,
